sample.id	inst.country.code	legacy.sample.code	month	year	sample.country.code	sample.postcode	sample.city	sample.site	gps	material	height	depth	m_s	V_w	c_Cl	c_NO3	c_SO4	c_Na	c_K	c_Ca	c_Mg
IRPA-000001	BE	N/A	9	2004	BE	3500	Hasselt	St-Quintinuskathedraal	N/A	E	N/A	0	0.0333	20	5.485	16.185	461.49	3.278	1.9	234.5	0.9896
IRPA-000002	BE	N/A	9	2004	BE	3500	Hasselt	St-Quintinuskathedraal	N/A	P	N/A	0to1	0.4068	100	14.284	28.738	10.825	7.304	5.674	20.72	1.016
IRPA-000003	BE	N/A	9	2004	BE	3500	Hasselt	St-Quintinuskathedraal	N/A	P	N/A	1to3	0.1988	50	45.012	2.23	16.985	5.234	10.57	20.92	2.652
IRPA-000004	BE	N/A	9	2004	BE	3500	Hasselt	St-Quintinuskathedraal	N/A	E	N/A	0	0.6876	100	6.017	18.452	1446.096	6.209	4.489	650.9	7.293
IRPA-000005	BE	N/A	9	2004	BE	3500	Hasselt	St-Quintinuskathedraal	N/A	P	N/A	0to1	1.1209	100	6.451	20.509	641.298	11.11	7.599	304	7.439
IRPA-000006	BE	N/A	9	2004	BE	3500	Hasselt	St-Quintinuskathedraal	N/A	P	N/A	1to3	0.443	50	4.889	11.534	42.767	3.227	2.519	35.63	1.172
IRPA-000007	BE	N/A	9	2004	BE	3500	Hasselt	St-Quintinuskathedraal	N/A	E	N/A	0	0.1937	50	10.375	43.355	1372.637	7.966	7.608	601	2.282
IRPA-000008	BE	N/A	9	2004	BE	3500	Hasselt	St-Quintinuskathedraal	N/A	P	N/A	0to1	0.016	20	0.743	2.13	41.828	0.84	0.6465	20.69	0.1838
IRPA-000009	BE	N/A	9	2004	BE	3500	Hasselt	St-Quintinuskathedraal	N/A	P	N/A	1to3	0.1324	50	3.293	11.591	37.035	1.956	1.924	30.88	0.504
IRPA-000010	BE	N/A	10	2004	BE	1000	Brussel	Zavelkerk	N/A	N/A	N/A	N/A	0.0786	30	7.352	14.21	984.258	3.038	0.72	421.4	2.036
IRPA-000011	BE	N/A	10	2004	BE	1000	Brussel	Zavelkerk	N/A	N/A	N/A	N/A	1.2338	100	2.489	15.168	708.592	3.421	2.849	295.15	4.833
IRPA-000012	BE	N/A	10	2004	BE	1000	Brussel	Zavelkerk	N/A	N/A	N/A	N/A	1.0289	100	0.424	3.993	33.739	1.242	1.382	22.11	0.771
IRPA-000013	BE	N/A	10	2004	BE	1000	Brussel	Zavelkerk	N/A	N/A	N/A	N/A	0.6175	100	0.12	1.223	12.966	0.1271	0.4899	13.29	0.33
IRPA-000014	BE	N/A	10	2004	BE	1000	Brussel	Zavelkerk	N/A	N/A	N/A	N/A	0.475	100	0.485	4.682	279.685	0.3171	0.6643	130.5	1.325
IRPA-000015	BE	N/A	10	2004	BE	1000	Brussel	Zavelkerk	N/A	N/A	N/A	N/A	0.4048	50	0.365	2.282	30.376	1.544	1.49	24.84	0.6471
IRPA-000016	BE	N/A	10	2004	BE	1000	Brussel	Zavelkerk	N/A	N/A	N/A	N/A	0.5122	100	0.11	1.012	10.265	0.1	0.4413	9.52	0.2522
IRPA-000017	BE	N/A	12	2004	BE	1000	Brussel	St-Joost-ten-Node	N/A	N/A	N/A	N/A	0.094	50	14.445	43.26	619.25	280.2	3.913	40.83	2.07
IRPA-000018	BE	N/A	12	2004	BE	1000	Brussel	St-Joost-ten-Node	N/A	N/A	N/A	N/A	0.4288	100	25.479	156.034	288.82	152.4	10.98	44.47	5.422
IRPA-000019	BE	N/A	12	2004	BE	1000	Brussel	St-Joost-ten-Node	N/A	N/A	N/A	N/A	1.178	100	29.036	83.021	76.931	70.01	10.98	19.76	3.681
IRPA-000020	BE	N/A	12	2004	BE	1000	Brussel	St-Joost-ten-Node	N/A	N/A	N/A	N/A	0.7244	100	6.732	20.691	37.67	15.52	4.172	15.01	1.094
IRPA-000021	BE	N/A	12	2004	BE	1000	Brussel	St-Joost-ten-Node	N/A	N/A	N/A	N/A	0.7938	100	2.773	9.004	13.735	8.25	3.593	8.618	0.5303
IRPA-000022	BE	N/A	12	2004	BE	1000	Brussel	St-Joost-ten-Node	N/A	N/A	N/A	N/A	0.9219	100	0.777	3.571	7.547	4.92	3.451	7.181	0.3162
IRPA-000023	BE	N/A	12	2004	BE	1000	Brussel	St-Joost-ten-Node	N/A	N/A	N/A	N/A	0.0629	50	10.121	12.041	632.72	282.65	12.16	30.17	1.86
IRPA-000024	BE	N/A	12	2004	BE	1000	Brussel	St-Joost-ten-Node	N/A	N/A	N/A	N/A	0.3479	100	4.098	63.29	196.54	76.45	10.11	24.46	6.073
IRPA-000025	BE	N/A	12	2004	BE	1000	Brussel	St-Joost-ten-Node	N/A	N/A	N/A	N/A	0.952	100	6.457	48.425	91.513	36.42	11.86	22.75	3.871
IRPA-000026	BE	N/A	12	2004	BE	1000	Brussel	St-Joost-ten-Node	N/A	N/A	N/A	N/A	0.827	100	2.785	18.474	63.436	15.26	8.327	23.93	1.737
IRPA-000027	BE	N/A	12	2004	BE	1000	Brussel	St-Joost-ten-Node	N/A	N/A	N/A	N/A	0.8124	100	1.515	13.826	41.408	12.42	7.411	15.38	1.383
IRPA-000028	BE	N/A	12	2004	BE	1000	Brussel	St-Joost-ten-Node	N/A	N/A	N/A	N/A	0.8795	100	0.802	10.536	26.745	15.12	6.077	12.05	1.031
IRPA-000029	BE	N/A	9	2005	BE	1000	Brussel	Pavilioen Horta	N/A	E	200	0	0.1022	100	0.12	0.19	487.5	87.4	160	10	33.2
IRPA-000030	BE	N/A	9	2005	BE	1000	Brussel	Pavilioen Horta	N/A	E	200	0	0.008	100	0.2	0.2	34.5	15.5	2	6.9	0.3
IRPA-000031	BE	N/A	9	2005	BE	1000	Brussel	Pavilioen Horta	N/A	E	N/A	0	0.1067	100	0.6	0.3	65.3	2.2	0.4	20.3	7.9
IRPA-000032	BE	N/A	9	2005	BE	1000	Brussel	Pavilioen Horta	N/A	S	200	0to1	0.2132	100	0.3	1.3	102.6	10.4	37.6	14.5	8.3
IRPA-000033	BE	N/A	9	2005	BE	1000	Brussel	Pavilioen Horta	N/A	S	200	1to3	0.3233	100	0.5	1.2	11.5	1.2	1.5	12.2	0.4
IRPA-000034	BE	N/A	9	2005	BE	1000	Brussel	Pavilioen Horta	N/A	S	200	3to5	0.3451	100	0.2	0.4	9.9	1.2	2.7	10.8	0.7
IRPA-000035	BE	N/A	9	2005	BE	1000	Brussel	Pavilioen Horta	N/A	S	200	0to1	0.4763	100	0.2	0.3	44.1	0.5	0.7	26	0.4
