sample.id	x_Cl.adj	x_NO3.adj	x_SO4.adj	x_Na.adj	x_K.adj	x_Ca.adj	x_Mg.adj	fe_Ca	fe_Mg	fe_Na	fe_K	w_Cl.f	w_NO3.f	w_SO4.f	w_Na.f	w_K.f	w_Ca.f	w_Mg.f	w_tot.f	w_tot.adj.w_CaSO4	w_CaSO4	w_tot.adj	w_Na.K.adj	w_Ca.adj	w_CO3.h
IRPA-000001	0.215117923	0.36294095	0	0.198254768	0.067568613	0.099505115	0.056612631	0.162932464	0	0	0	0.003294294	0.009720721	0	0.001968769	0.001141141	0.001722614	0.000594354	0.018441893	0.416289398	0.39280727	0.023482128	0	0.023482128	0
IRPA-000002	0.263165411	0.302732335	0	0.207517371	0.094789392	0.104491486	0.027304006	0.309198851	0	0	0	0.003511308	0.007064405	0	0.001795477	0.001394789	0.001576078	0.000249754	0.015591811	0.006178347	0.00377119	0.002407157	0	0.002407157	0
IRPA-000003	0.575170809	0.016292836	0	0.103137588	0.122471477	0.133496707	0.049430583	0.057370169	0	0	0	0.011320926	0.000560865	0	0.001316398	0.002658451	0.002970382	0.000667002	0.019494024	0.006563068	0.006054115	0.000508954	0	0.000508954	0
IRPA-000004	0.120273258	0.210889916	0.183438537	0.191392736	0.081363592	0	0.212641961	0.086427377	0	0	0	0.000875073	0.002683537	0.003616404	0.000902996	0.00065285	0	0.001060646	0.009791506	0.301356836	0.292927292	0.008429544	2.17E-19	0.008429544	0
IRPA-000005	0.096534898	0.175478976	0.206116547	0.256381147	0.103111045	0	0.162377388	0.157712279	0	0	0	0.00057552	0.00182969	0.003329661	0.000991168	0.000677937	0	0.000663663	0.00806764	0.081004178	0.076363205	0.004640973	2.1684E-19	0.004640973	0
IRPA-000006	0.234417071	0.316207705	0	0.23860684	0.109518833	0.019280389	0.081969163	0.415993918	0	0	0	0.000551806	0.001301806	0	0.000364221	0.000284312	5.13E-05	0.00013228	0.002685731	0.008797114	0.006840794	0.00195632	0	0.00195632	0
IRPA-000007	0.166431866	0.397659052	0	0.197062236	0.110665009	0.074784732	0.053397105	0.037466016	0	0	0	0.00267811	0.011191275	0	0.002056273	0.001963862	0.001360384	0.000589055	0.01983896	0.508096766	0.502143153	0.005953613	0	0.005953613	0
IRPA-000008	0.171236619	0.280679528	0.052652039	0.298539529	0.135103874	0	0.061788411	0.158572815	0	0	0	0.00092875	0.0026625	0.0007738	0.00105	0.000808125	0	0.00022975	0.006452925	0.0773737	0.073001726	0.004371974	0	0.004371974	0
IRPA-000009	0.190775722	0.383950808	0	0.174749102	0.101071308	0.106862279	0.042590781	0.387875729	0	0	0	0.00124358	0.004377266	0	0.000738671	0.000726586	0.000787466	0.000190332	0.008063901	0.024860193	0.019821012	0.00503918	0	0.00503918	0
IRPA-000010	0.284609745	0.314529693	0	0.177803889	0.024777797	0.085566859	0.112712017	0	0	0	0	0.002834186	0.005477935	0	0.001148167	0.000272113	0.000963254	0.000769476	0.01146513	0.535486778	0.537728669	-0.002241891	Pathway I	Pathway I	Pathway I
IRPA-000011	0.080303483	0.279808633	0.167687053	0.167092757	0.081822683	0	0.223285391	0	0	0	0	0.000203614	0.001240829	0.001152086	0.000274737	0.0002288	0	0.000388133	0.0034882	0.080196514	0.080517965	-0.00032145	Pathway I	Pathway I	Pathway I
IRPA-000012	0.05074531	0.27324528	0.162205557	0.22922732	0.149978684	0	0.13459785	0.380028505	0	0	0	4.12E-05	0.000388084	0.000356922	0.000120711	0.000134318	0	7.49E-05	0.00111618	0.005071107	0.00414136	0.000929748	0	0.000929748	0
IRPA-000013	0.051442806	0.299773447	0.167973537	0.084024063	0.190433032	0	0.206353116	0.586327304	0	0	0	1.94E-05	0.000198057	0.000171938	2.06E-05	7.93E-05	0	5.34E-05	0.000542788	0.004080046	0.002732107	0.001347939	0	0.001347939	0
